"Estimate Date","fieldID","fieldName","Estimated GDD","Current Stage","Stage In Next 5 Days","Next Imaging Event Stage","Date of next Image Event","Days till Flight"
"2015-04-22","226","Rogers-TX","262.75","V2","V2-V4","Stand Count","2015-04-23","1"
"2015-04-22","227","Jones-LA","224.85","V2","V2","Stand Count","2015-04-23","1"
"2015-04-22","228","Danevang-TX","187.85","Emergence-V2","V2","Stand Count","2015-04-25","3"
"2015-04-22","251","Waco-NE","35.05","Not Emerged","Emergence","Stand Count","2015-05-22","30"
"2015-04-22","271","WamegoIRR-KS","46.8","Emergence","Emergence","Stand Count","2015-05-14","22"
"2015-04-22","277","Richland-IA","49.15","Emergence","Emergence","Stand Count","2015-05-21","29"
"2015-04-22","281","Stanwood-IA","51.45","Emergence","Emergence","Stand Count","2015-05-23","31"
"2015-04-22","282","Kilbourne-IL","63.15","Emergence","Emergence","Stand Count","2015-05-12","20"
"2015-04-22","283","Springfield-IL","68.05","Emergence","Emergence","Stand Count","2015-05-11","19"
"2015-04-22","287","Macomb-IL","59.5","Emergence","Emergence","Stand Count","2015-05-13","21"
"2015-04-22","307","Marianna-AR","202.55","V2","V2","Stand Count","2015-04-24","2"
"2015-04-22","310","Risco-MO","100.3","Emergence","Emergence-V2","Stand Count","2015-05-03","11"
