"name","fieldID","dayTill","Imaging-Date"
"Rogers-TX","226","31","2015-06-07"
"Danevang-TX","228","33","2015-06-09"
"Jones-LA","227","38","2015-06-14"
"Marianna-AR","307","42","2015-06-18"
"Risco-MO","310","51","2015-06-27"
"WalnutRidge-AR","311","58","2015-07-04"
"Jackson-TN","308","62","2015-07-08"
"WamegoIRR-KS","271","63","2015-07-09"
"Springfield-IL","283","64","2015-07-10"
"Kilbourne-IL","282","66","2015-07-12"
"Trenton-IL","285","67","2015-07-13"
"Macomb-IL","287","67","2015-07-13"
"Shipman-IL","290","68","2015-07-14"
"Waco-NE","251","69","2015-07-15"
"BowlingGreen-MO","272","69","2015-07-15"
"CerroGordo-IL","289","69","2015-07-15"
"Dorchester-NE","255","70","2015-07-16"
"Hiawatha-KS","273","70","2015-07-16"
"Richland-IA","277","71","2015-07-17"
"Philo-IL","284","71","2015-07-17"
"Stanwood-IA","281","72","2015-07-18"
"Holdrege-NE","219","74","2015-07-20"
"SiouxCenter-IA","233","74","2015-07-20"
"Aurora","256","74","2015-07-20"
"NorthBend","258","74","2015-07-20"
"Blencoe-IA","229","75","2015-07-21"
"Albion","253","75","2015-07-21"
"Pella-IA","278","76","2015-07-22"
"Wakefield","249","77","2015-07-23"
"Plainview","259","77","2015-07-23"
"North Platte-NE","220","79","2015-07-25"
"Elgin-MN","261","80","2015-07-26"
"Truman-MN","268","80","2015-07-26"
"Arcadia-IA","274","80","2015-07-26"
"Janesville-WI","223","81","2015-07-27"
"Worthington-MN","230","81","2015-07-27"
"Sanborn-MN","262","82","2015-07-28"
"Henderson-MN","263","83","2015-07-29"
"Hayfield-MN","265","84","2015-07-30"
"Menomonie-WI","221","86","2015-08-01"
